x1,y1,x2,y2,x3,y3
0.07,57.83,49.05,30.02,0.17,57.93
76.5,34.23,73.24,53.53,76.6,34.33
93.76,51.54,63.48,64.29,93.86,51.64
4.4,59.26,66.51,82.21,4.5,59.36
20.03,36.05,6.42,51.02,20.130000000000003,36.15
44.28,98.22,29.81,80.77,44.38,98.32
44.72,36.18,12.51,37.83,44.82,36.28
29.99,14.49,98.46,21.3,30.09,14.59
96.74,30.21,29.22,17.88,96.83999999999999,30.310000000000002
49.95,86.16,65.99,48.72,50.050000000000004,86.25999999999999
52.05,23.69,44.12,55.88,52.15,23.790000000000003
60.05,95.53,99.88,69.2,60.15,95.63
30.8,60.96,28.16,31.86,30.900000000000002,61.06
78.08,69.98,18.12,4.12,78.17999999999999,70.08
60.77,67.32,1.01,83.56,60.870000000000005,67.41999999999999
1.68,51.79,5.31,13.26,1.78,51.89
34.34,41.81,80.49,56.45,34.440000000000005,41.910000000000004
37.81,85.34,4.39,3.0,37.910000000000004,85.44
20.7,23.57,71.75,73.69,20.8,23.67
15.78,94.42,38.79,75.11,15.879999999999999,94.52
11.69,48.96,40.33,73.2,11.79,49.06
37.42,31.42,92.35,21.67,37.52,31.520000000000003
2.97,88.48,99.73,32.76,3.0700000000000003,88.58
3.13,65.59,66.33,43.32,3.23,65.69
29.44,75.89,38.22,8.09,29.540000000000003,75.99
88.09,52.66,36.39,11.63,88.19,52.76
34.96,18.76,54.34,14.5,35.06,18.860000000000003
52.52,7.89,46.37,12.74,52.620000000000005,7.989999999999999
5.15,64.86,67.06,71.24,5.25,64.96
44.77,18.73,81.9,69.97,44.870000000000005,18.830000000000002
73.17,28.97,28.46,62.49,73.27,29.07
10.0,55.55,99.24,30.35,10.1,55.65
84.68,7.25,67.89,21.81,84.78,7.35
6.11,67.11,32.92,15.42,6.21,67.21
34.48,49.23,79.78,88.53,34.58,49.33
60.76,0.12,23.43,44.19,60.86,0.22
59.27,15.79,31.12,99.83,59.370000000000005,15.889999999999999
76.19,31.33,81.5,9.7,76.28999999999999,31.43
37.63,54.19,48.83,11.58,37.730000000000004,54.29
17.38,11.36,20.35,26.82,17.48,11.459999999999999
55.5,51.72,73.52,41.77,55.6,51.82
76.2,19.32,76.99,24.9,76.3,19.42
24.77,21.02,73.16,79.56,24.87,21.12
90.03,23.11,77.88,72.77,90.13,23.21
69.84,85.11,11.66,38.42,69.94,85.21
4.96,4.69,57.79,5.35,5.06,4.79
78.23,18.02,82.93,12.26,78.33,18.12
23.55,36.92,99.58,60.98,23.650000000000002,37.02
40.43,34.13,58.42,80.4,40.53,34.230000000000004
73.6,46.95,23.56,2.22,73.69999999999999,47.050000000000004
25.12,29.61,47.61,2.68,61.33,15.89
70.77,11.79,15.92,30.11,36.27,42.51
51.67,58.88,53.97,84.68,55.4,97.06
22.44,46.85,22.2,91.93,91.08,44.43
34.17,26.46,2.46,70.29,37.34,7.89
93.46,67.62,4.28,26.15,15.73,4.33
13.59,16.56,28.83,32.27,82.66,32.54
9.57,98.84,94.52,95.87,35.72,14.62
81.51,98.06,96.9,50.84,70.08,71.62
75.98,69.34,53.78,66.59,98.82,9.99
80.76,45.3,35.17,98.33,74.47,7.87
59.56,85.24,67.76,72.94,24.71,54.88
66.18,11.21,72.31,90.99,53.52,21.84
55.15,80.23,74.66,14.58,49.31,79.43
26.03,59.45,79.97,72.18,31.23,93.71
28.34,94.68,44.07,83.29,42.65,63.02
66.75,72.62,83.42,49.34,7.39,98.53
84.05,92.52,3.16,99.14,15.09,21.35
70.08,37.39,79.3,31.58,69.41,66.35
1.5,78.57,24.98,65.59,34.9,57.02
27.72,11.76,74.71,79.8,74.39,86.6
85.59,89.91,31.41,55.03,75.49,68.94
33.48,58.88,97.6,42.0,69.89,91.1
8.14,46.84,97.79,84.36,56.84,90.69
41.58,3.14,81.85,94.51,33.29,68.49
98.28,54.78,84.46,26.55,31.08,30.14
72.13,33.17,1.26,4.45,58.15,91.11
23.54,53.72,65.31,48.43,84.74,45.48
18.24,22.39,71.17,87.05,62.61,56.25
7.96,64.75,96.17,69.46,40.82,0.63
24.1,25.68,24.37,65.66,93.64,24.14
7.45,51.49,62.87,88.69,91.02,19.66
97.13,65.89,4.44,42.36,29.18,3.8
86.76,78.39,80.17,45.7,67.94,50.01
52.52,87.23,38.05,9.59,74.51,12.02
20.97,57.13,19.94,72.6,93.62,53.53
78.72,77.86,46.21,62.99,33.25,84.67
26.08,96.74,86.17,74.56,39.95,37.86
86.72,28.5,52.0,12.11,90.21,91.61
1.78,26.81,34.21,6.3,5.47,31.54
0.33,66.54,26.24,32.11,39.84,29.58
85.46,79.37,82.93,20.85,53.1,74.38
47.19,63.17,40.6,0.95,59.03,84.15
36.19,19.85,61.75,92.29,99.86,52.33
77.08,99.3,3.12,8.45,10.34,42.0
13.6,92.7,12.9,1.54,65.89,54.15
51.38,40.15,35.4,94.26,92.39,33.84
19.29,5.06,27.88,37.2,79.02,90.09
83.3,1.84,13.42,10.31,2.2,55.55
10.21,64.28,34.17,57.06,59.49,98.15
